"filename", "language", "EditorConfig", "JavaScript", "JSON", "SCSS", "TypeScript", "CSS", "HTML", "Markdown", "XML", "comment", "blank", "total"
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/task_labels_repository.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/task_repository.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/source.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/kanban.column.store.ts", "TypeScript", 0, 0, 0, 0, 101, 0, 0, 0, 0, 2, 12, 115
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/kanban.task.store.ts", "TypeScript", 0, 0, 0, 0, 99, 0, 0, 0, 0, 3, 23, 125
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/label_store.ts", "TypeScript", 0, 0, 0, 0, 89, 0, 0, 0, 0, 2, 16, 107
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/orderable.store.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/pomodoro_store.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 12, 46
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/project_store.ts", "TypeScript", 0, 0, 0, 0, 123, 0, 0, 0, 0, 3, 14, 140
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/stage_store.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 0, 0, 0, 3, 12, 86
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/subtask_store.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 13, 69
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/task_store.ts", "TypeScript", 0, 0, 0, 0, 277, 0, 0, 0, 0, 13, 34, 324
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store_manager.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 1, 13, 68
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/date.adapter.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/kanban.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 0, 0, 2, 25, 119
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/label.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/orderable.item.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 10, 43
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/pomodoro.history.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 1, 13, 79
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/priority.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/project.ts", "TypeScript", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 26, 129
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/project_type.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/stage.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 14, 67
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/status.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/subtask.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 12, 54
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/task.container.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/task.item.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 4, 11
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/task.ts", "TypeScript", 0, 0, 0, 0, 171, 0, 0, 0, 0, 2, 45, 218
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/database.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/database.ts", "TypeScript", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 17, 112
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/kanban_columns_repository.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 14, 60
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/kanban_tasks_repository.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 14, 59
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/label_repository.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 15, 58
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/pomodoro_repository.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 2, 15, 68
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/project_repository.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 3, 17, 77
