"filename", "language", "SCSS", "TypeScript", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/main/main.component.html", "HTML", 0, 0, 0, 0, 27, 20, 12, 59
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/main/main.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/main/main.component.ts", "TypeScript", 0, 174, 0, 0, 0, 15, 49, 238
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/kanban.ts", "TypeScript", 0, 92, 0, 0, 0, 2, 25, 119
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/label.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 6, 27
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/orderable.item.ts", "TypeScript", 0, 32, 0, 0, 0, 1, 10, 43
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/pomodoro.history.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 11, 48
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/priority.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 7
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/project.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 26, 129
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/project_type.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/stage.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 14, 67
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/status.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 2, 8
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/subtask.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 12, 54
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/task.container.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 2, 6
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/task.item.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 4, 11
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/models/task.ts", "TypeScript", 0, 166, 0, 0, 0, 3, 46, 215
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro-statistics/data-source/project.data.source.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 7, 35
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro-statistics/data-source/task.data.source.ts", "TypeScript", 0, 28, 0, 0, 0, 1, 11, 40
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro-statistics/model.ts", "TypeScript", 0, 174, 0, 0, 0, 1, 39, 214
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro-statistics/pomodoro-statistics.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro-statistics/pomodoro-statistics.component.html", "HTML", 0, 0, 0, 0, 45, 0, 12, 57
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro-statistics/pomodoro-statistics.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro-statistics/pomodoro-statistics.component.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 17, 87
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro-statistics/sorter/project.data.sorter.ts", "TypeScript", 0, 34, 0, 0, 0, 2, 7, 43
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro-statistics/sorter/task.data.sorter.ts", "TypeScript", 0, 34, 0, 0, 0, 2, 6, 42
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/model.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 16, 67
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro.component.css", "CSS", 0, 0, 60, 0, 0, 0, 12, 72
